GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;5;0.69;PROVISIONAL;2024-06-10 01:07
SD;1;0.14;PROVISIONAL;2024-06-10 01:07
Renew;2;0.28;PROVISIONAL;2024-06-10 01:07
GREENSEFA;1;0.14;PROVISIONAL;2024-06-10 01:07
