GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;6;0.83;PROVISIONAL;2024-06-10 14:19
SD;4;0.56;PROVISIONAL;2024-06-10 14:19
ECR;1;0.14;PROVISIONAL;2024-06-10 14:19
Renew;7;0.97;PROVISIONAL;2024-06-10 14:19
Theleft;1;0.14;PROVISIONAL;2024-06-10 14:19
GREENSEFA;4;0.56;PROVISIONAL;2024-06-10 14:19
ID;6;0.83;PROVISIONAL;2024-06-10 14:19
Others;2;0.28;PROVISIONAL;2024-06-10 14:19
