GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;6;0.83;PROVISIONAL;2024-06-09 23:25
SD;4;0.56;PROVISIONAL;2024-06-09 23:25
GREENSEFA;1;0.14;PROVISIONAL;2024-06-09 23:25
Others;1;0.14;PROVISIONAL;2024-06-09 23:25
