GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;11;1.53;PROVISIONAL;2024-06-10 14:26
SD;11;1.53;PROVISIONAL;2024-06-10 14:26
ECR;1;0.14;PROVISIONAL;2024-06-10 14:26
Renew;2;0.28;PROVISIONAL;2024-06-10 14:26
GREENSEFA;1;0.14;PROVISIONAL;2024-06-10 14:26
Others;7;0.97;PROVISIONAL;2024-06-10 14:26
