GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;6;0.83;PROVISIONAL;2024-06-10 02:37
SD;13;1.81;PROVISIONAL;2024-06-10 02:37
ECR;5;0.69;PROVISIONAL;2024-06-10 02:37
Renew;13;1.81;PROVISIONAL;2024-06-10 02:37
Theleft;9;1.25;PROVISIONAL;2024-06-10 02:37
GREENSEFA;5;0.69;PROVISIONAL;2024-06-10 02:37
ID;30;4.17;PROVISIONAL;2024-06-10 02:37
