GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;4;0.56;PROVISIONAL;2024-06-10 00:17
SD;4;0.56;PROVISIONAL;2024-06-10 00:17
ECR;3;0.42;PROVISIONAL;2024-06-10 00:17
Renew;4;0.56;PROVISIONAL;2024-06-10 00:17
Theleft;2;0.28;PROVISIONAL;2024-06-10 00:17
GREENSEFA;2;0.28;PROVISIONAL;2024-06-10 00:17
ID;3;0.42;PROVISIONAL;2024-06-10 00:17
