GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;1;0.14;PROVISIONAL;2024-06-10 00:17
Renew;6;0.83;PROVISIONAL;2024-06-10 00:17
NI;7;0.97;PROVISIONAL;2024-06-10 00:17
Others;1;0.14;PROVISIONAL;2024-06-10 00:17
