GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;3;0.42;PROVISIONAL;2024-06-10 01:09
SD;3;0.42;PROVISIONAL;2024-06-10 01:09
