GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;9;1.25;PROVISIONAL;2024-06-10 16:14
SD;21;2.92;PROVISIONAL;2024-06-10 16:14
ECR;24;3.33;PROVISIONAL;2024-06-10 16:14
GREENSEFA;3;0.42;PROVISIONAL;2024-06-10 16:14
ID;8;1.11;PROVISIONAL;2024-06-10 16:14
NI;8;1.11;PROVISIONAL;2024-06-10 16:14
Others;3;0.42;PROVISIONAL;2024-06-10 16:14
