GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;3;0.42;ESTIMATE;2024-06-11 17:46
Renew;3;0.42;ESTIMATE;2024-06-11 17:46
Theleft;3;0.42;ESTIMATE;2024-06-11 17:46
GREENSEFA;1;0.14;ESTIMATE;2024-06-11 17:46
Others;4;0.56;ESTIMATE;2024-06-11 17:46
