GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;30;4.17;PROVISIONAL;2024-06-10 02:37
SD;14;1.94;PROVISIONAL;2024-06-10 02:37
Renew;8;1.11;PROVISIONAL;2024-06-10 02:37
Theleft;4;0.56;PROVISIONAL;2024-06-10 02:37
GREENSEFA;16;2.22;PROVISIONAL;2024-06-10 02:37
NI;17;2.36;PROVISIONAL;2024-06-10 02:37
Others;7;0.97;PROVISIONAL;2024-06-10 02:37
